Thunder Counter, Legendary
Thunderpull, Legendary
Aerial Rend • Ice-Wielding, Epic
Backfire, Epic
Petal Fall Flurry • Thunder-Wielding, Epic
Torrent Flow • Thunder-Wielding, Epic
Vertical Blink Strike • Thunder-Wielding, Epic
Desperation, Legendary
Stormstride, Legendary
Blue Moon • Ice-Wielding, Epic
Defuse • Aegis-Break, Epic
Erudition • Ice-Wielding, Epic
Onslaught • Thunder-Wielding, Epic
Outrage, Epic
Quick Attack, Epic
Rockfall Slash • Thunder-Wielding, Epic
Weapon Sap, Epic
Moonbane Control • Unlimited, Legendary
Purified Circle • Assist, Legendary
Storm Prison • Aegis-Break, Legendary
Stormstride Sword, Legendary
Successive Ice Blast, Legendary
Blue Moon, Epic
Fire Frenzy • Enrage, Legendary
Thunder Sword, Legendary
Assassin's Lunge • Ice-Wielding, Epic
Cloudscorch, Epic
Condensed Qi, Epic
Crescent Slam • Thunder-Wielding, Epic
Focus Slide, Epic
Jabbing • Ice-Wielding, Epic
Splitter, Epic
Stamina Strike • Ice-Wielding, Epic
Twinshot, Epic
Vertical Energy • Thunder-Wielding, Epic
Attack, Common
Attack, Rare
Mortal Defiance, Legendary
Soul Drawing, Epic
Lucky Break, Legendary
Blessed, Epic
Weaponry Chest Boon, Epic
Thunderproof, Epic
Frost Cannon, Legendary
Desperation Shield, Epic
Dual Ring, Epic
Stamina Strike, Epic
Rising Tide • Aegis-Break, Legendary
Enrage, Epic
Group Heal, Epic
Detonating Rounds, Legendary
Frost Arrows, Legendary
Frost Bomb, Legendary
Invisible Assassin • Enrage, Legendary
Dual Link, Epic
Scattershot Enhance, Epic
Defuse • Soul-snatch, Legendary
Draco Storm, Legendary
Ice Armor, Legendary
Titan's Call • Soul Seeking, Legendary
Advanced Heal, Epic
Defuse • Combo (Concentrate), Epic
Defuse • Dash (Concentrate), Epic
Defuse • Solve (Concentrate), Epic
Guardian, Epic
Netherstep, Epic
Wave Roll, Epic
Health, Common
Health, Rare
MEL Resist, Common
MEL Resist, Rare
Repair Roll, Legendary
Skyforce, Legendary
Craftmanship, Epic
General's Call • Soul Seeking, Legendary
Aegis-break Shot, Epic
Ice Bomb, Legendary
Defuse • Combo (Counterattack), Legendary
Defuse • Dash (Counterattack), Legendary
Defuse • Solve (Counterattack), Legendary
Thunder Arrows, Legendary
Thunder Cannon, Legendary
Thunder Crossbow, Legendary
Thunder Detonation, Legendary
Thunder Shot, Legendary
Thunder Swarm, Legendary
Advanced Heal Crossbow, Epic
Calvary Bloom • Ice-Wielding, Epic
Flamebreath, Epic
Rapid Shot, Epic
Warrior, Epic
Scarlet Guanyin, Epic
Ice Repeating Crossbow, Legendary
Ice Swarm, Legendary
Crossbow Augmentation, Epic
Thundercall, Epic
Silkworm Cocoon, Legendary
Divine Form, Epic
Thunderheal, Epic
Icefall, Legendary
Abyssal Aura • Thunder-Wielding, Epic
Bounce Shell, Epic
Fire Arrows, Epic
Gunpowder, Epic
Ice Blast Backfire, Epic
Tracking Arrow, Epic
Venom Tip, Epic
Basalt Armor, Epic
Copper Ward, Epic
Overlord, Epic
RNG Resist, Common
RNG Resist, Rare
Dealer Phantom, Epic
